task_id,agent,run,attempt,passed,duration_seconds
task_04,baseline,3,3,False,0.41
task_04,baseline,4,1,False,0.42
task_04,baseline,4,2,False,0.42
task_04,baseline,4,3,False,0.42
task_04,baseline,5,1,False,0.43
task_04,baseline,5,2,False,0.41
task_04,baseline,5,3,False,0.41
task_04,agent_02,1,1,False,0.42
task_04,agent_02,1,2,False,0.43
task_04,agent_02,1,3,False,0.41
task_04,agent_02,2,1,False,0.43
task_04,agent_02,2,2,False,0.41
task_04,agent_02,2,3,False,0.41
task_04,agent_02,3,1,False,0.47
task_04,agent_02,3,2,False,0.44
task_04,agent_02,3,3,False,0.42
task_04,agent_02,4,1,False,0.47
task_04,agent_02,4,2,False,0.46
task_04,agent_02,4,3,False,0.46
task_04,agent_02,5,1,False,0.44
task_04,agent_02,5,2,False,0.44
task_04,agent_02,5,3,False,0.42
task_05,baseline,1,1,True,0.37
task_05,baseline,2,1,True,0.36
task_05,baseline,3,1,True,0.36
task_05,baseline,4,1,True,0.34
task_05,baseline,5,1,True,0.35
task_05,agent_02,1,1,True,0.35
task_05,agent_02,2,1,True,0.37
task_05,agent_02,3,1,True,0.36
task_05,agent_02,4,1,True,0.37
task_05,agent_02,5,1,True,0.37
task_06,baseline,1,1,False,0.45
task_06,baseline,1,2,False,0.57
task_06,baseline,1,3,False,0.49
task_06,baseline,2,1,False,0.47
task_06,baseline,2,2,False,0.46
task_06,baseline,2,3,False,0.43
task_06,baseline,3,1,False,0.42
task_06,baseline,3,2,False,0.42
task_06,baseline,3,3,False,0.42
task_06,baseline,4,1,False,0.43
task_06,baseline,4,2,False,0.44
task_06,baseline,4,3,False,0.43
task_06,baseline,5,1,False,0.44
task_06,baseline,5,2,False,0.42
task_06,baseline,5,3,False,0.43
task_06,agent_02,1,1,False,0.43
task_06,agent_02,1,2,False,0.45
task_06,agent_02,1,3,False,0.42
task_06,agent_02,2,1,False,0.44
task_06,agent_02,2,2,False,0.42
task_06,agent_02,2,3,False,0.41
task_06,agent_02,3,1,False,0.44
task_06,agent_02,3,2,False,0.42
task_06,agent_02,3,3,False,0.42
task_06,agent_02,4,1,False,0.43
task_06,agent_02,4,2,False,0.43
task_06,agent_02,4,3,False,0.42
task_06,agent_02,5,1,False,0.43
task_06,agent_02,5,2,False,0.42
task_06,agent_02,5,3,False,0.42
task_01,baseline,1,1,True,0.61
task_01,baseline,2,1,True,0.62
task_01,baseline,3,1,True,0.57
task_01,baseline,4,1,True,0.59
task_01,baseline,5,1,True,0.59
task_01,agent_02,1,1,True,0.62
task_01,agent_02,2,1,True,0.57
task_01,agent_02,3,1,True,0.65
task_01,agent_02,4,1,True,0.54
task_01,agent_02,5,1,True,0.61
task_02,baseline,1,1,True,0.53
task_02,baseline,2,1,True,0.59
task_02,baseline,3,1,True,0.6
task_02,baseline,4,1,True,0.58
task_02,baseline,5,1,True,0.55
task_02,agent_02,1,1,True,0.61
task_02,agent_02,2,1,True,0.65
task_02,agent_02,3,1,True,0.56
task_02,agent_02,4,1,True,0.62
task_02,agent_02,5,1,True,0.6
task_03,baseline,1,1,False,0.99
task_03,baseline,1,2,False,0.76
task_03,baseline,1,3,False,0.7
task_03,baseline,2,1,False,0.68
task_03,baseline,2,2,False,0.75
task_03,baseline,2,3,False,0.68
task_03,baseline,3,1,False,0.73
task_03,baseline,3,2,False,0.72
task_03,baseline,3,3,False,0.75
task_03,baseline,4,1,False,0.83
task_03,baseline,4,2,False,0.73
task_03,baseline,4,3,False,0.72
task_03,baseline,5,1,False,0.71
task_03,baseline,5,2,False,0.69
task_03,baseline,5,3,False,0.75
task_03,agent_02,1,1,False,0.78
task_03,agent_02,1,2,False,0.71
task_03,agent_02,1,3,False,0.76
task_03,agent_02,2,1,False,0.92
task_03,agent_02,2,2,False,0.72
task_03,agent_02,2,3,False,0.78
task_03,agent_02,3,1,False,0.76
task_03,agent_02,3,2,False,0.74
task_03,agent_02,3,3,False,0.76
task_03,agent_02,4,1,False,0.83
task_03,agent_02,4,2,False,0.81
task_03,agent_02,4,3,False,0.79
task_03,agent_02,5,1,False,0.78
task_03,agent_02,5,2,False,0.69
task_03,agent_02,5,3,False,0.75
task_04,baseline,1,1,False,0.86
task_04,baseline,1,2,False,0.79
task_04,baseline,1,3,False,0.79
task_04,baseline,2,1,False,0.88
task_04,baseline,2,2,False,0.83
task_04,baseline,2,3,False,0.73
task_04,baseline,3,1,False,0.77
task_04,baseline,3,2,False,0.81
task_04,baseline,3,3,False,0.77
task_04,baseline,4,1,False,0.8
task_04,baseline,4,2,False,0.73
task_04,baseline,4,3,False,0.82
task_04,baseline,5,1,False,0.87
task_04,baseline,5,2,False,0.8
task_04,baseline,5,3,False,0.79
task_04,agent_02,1,1,False,0.82
task_04,agent_02,1,2,False,0.77
task_04,agent_02,1,3,False,0.82
task_04,agent_02,2,1,False,0.83
task_04,agent_02,2,2,False,0.77
task_04,agent_02,2,3,False,0.83
task_04,agent_02,3,1,False,0.63
task_04,agent_02,3,2,False,0.62
task_04,agent_02,3,3,False,0.65
task_04,agent_02,4,1,False,0.94
task_04,agent_02,4,2,False,0.71
task_04,agent_02,4,3,False,0.75
task_04,agent_02,5,1,False,0.82
task_04,agent_02,5,2,False,0.83
task_04,agent_02,5,3,False,0.68
task_05,baseline,1,1,True,0.76
task_05,baseline,2,1,True,0.63
task_05,baseline,3,1,True,0.59
task_05,baseline,4,1,True,0.61
task_05,baseline,5,1,True,0.86
task_05,agent_02,1,1,True,0.61
task_05,agent_02,2,1,True,0.59
task_05,agent_02,3,1,True,0.58
task_05,agent_02,4,1,True,0.61
task_05,agent_02,5,1,True,0.6
task_06,baseline,1,1,False,0.81
task_06,baseline,1,2,False,0.7
task_06,baseline,1,3,False,0.73
task_06,baseline,2,1,False,0.9
task_06,baseline,2,2,False,0.72
task_06,baseline,2,3,False,0.77
task_06,baseline,3,1,False,0.91
task_06,baseline,3,2,False,0.72
task_06,baseline,3,3,False,0.93
task_06,baseline,4,1,False,0.79
task_06,baseline,4,2,False,0.79
task_06,baseline,4,3,False,0.78
task_06,baseline,5,1,False,0.77
task_06,baseline,5,2,False,0.68
task_06,baseline,5,3,False,0.97
task_06,agent_02,1,1,False,0.73
task_06,agent_02,1,2,False,0.77
task_06,agent_02,1,3,False,0.66
task_06,agent_02,2,1,False,0.81
task_06,agent_02,2,2,False,0.75
task_06,agent_02,2,3,False,0.8
task_06,agent_02,3,1,False,0.71
task_06,agent_02,3,2,False,0.83
task_06,agent_02,3,3,False,0.6
task_06,agent_02,4,1,False,0.5
task_06,agent_02,4,2,False,0.46
task_06,agent_02,4,3,False,0.59
task_06,agent_02,5,1,False,0.8
task_06,agent_02,5,2,False,0.9
task_06,agent_02,5,3,False,0.86
task_07,baseline,1,1,True,0.7
task_07,baseline,2,1,True,0.71
task_07,baseline,3,1,True,0.61
task_07,baseline,4,1,True,0.76
task_07,baseline,5,1,True,0.58
task_07,agent_02,1,1,True,0.67
task_07,agent_02,2,1,True,0.63
task_07,agent_02,3,1,True,0.72
task_07,agent_02,4,1,True,0.58
task_07,agent_02,5,1,True,0.66
task_01,baseline,1,1,True,0.59
task_01,baseline,2,1,True,0.71
task_01,baseline,3,1,True,0.5
task_01,baseline,4,1,True,0.59
task_01,baseline,5,1,True,0.57
task_01,agent_02,1,1,True,0.63
task_01,agent_02,2,1,True,0.59
task_01,agent_02,3,1,True,0.59
task_01,agent_02,4,1,True,0.64
task_01,agent_02,5,1,True,0.56
task_02,baseline,1,1,True,0.58
task_02,baseline,2,1,True,0.66
task_02,baseline,3,1,True,0.63
task_02,baseline,4,1,True,0.73
task_02,baseline,5,1,True,0.55
task_02,agent_02,1,1,True,0.66
task_02,agent_02,2,1,True,0.56
task_02,agent_02,3,1,True,0.7
task_02,agent_02,4,1,True,0.7
task_02,agent_02,5,1,True,0.62
task_03,baseline,1,1,False,0.81
task_03,baseline,1,2,False,0.83
task_03,baseline,1,3,False,0.75
task_03,baseline,2,1,False,0.76
task_03,baseline,2,2,False,0.74
task_03,baseline,2,3,False,0.73
task_03,baseline,3,1,False,0.66
task_03,baseline,3,2,False,0.71
task_03,baseline,3,3,False,0.69
task_03,baseline,4,1,False,0.72
task_03,baseline,4,2,False,0.72
task_03,baseline,4,3,False,0.72
task_03,baseline,5,1,False,0.7
task_03,baseline,5,2,False,0.68
task_03,baseline,5,3,False,0.7
task_03,agent_02,1,1,True,0.64
task_03,agent_02,2,1,True,0.56
task_03,agent_02,3,1,True,0.61
task_03,agent_02,4,1,True,0.61
task_03,agent_02,5,1,True,0.61
task_04,baseline,1,1,False,0.8
task_04,baseline,1,2,False,0.89
task_04,baseline,1,3,False,0.77
task_04,baseline,2,1,False,0.84
task_04,baseline,2,2,False,0.8
task_04,baseline,2,3,False,0.76
task_04,baseline,3,1,False,0.88
task_04,baseline,3,2,False,0.7
task_04,baseline,3,3,False,0.9
task_04,baseline,4,1,False,0.87
task_04,baseline,4,2,False,0.74
task_04,baseline,4,3,False,0.74
task_04,baseline,5,1,False,0.85
task_04,baseline,5,2,False,0.77
task_04,baseline,5,3,False,0.8
task_04,agent_02,1,1,False,0.77
task_04,agent_02,1,2,False,0.76
task_04,agent_02,1,3,False,0.8
task_04,agent_02,2,1,False,0.88
task_04,agent_02,2,2,False,0.75
task_04,agent_02,2,3,False,0.84
task_04,agent_02,3,1,False,0.78
task_04,agent_02,3,2,False,0.73
task_04,agent_02,3,3,False,0.84
task_04,agent_02,4,1,False,0.76
task_04,agent_02,4,2,False,0.79
task_04,agent_02,4,3,False,0.74
task_04,agent_02,5,1,False,0.69
task_04,agent_02,5,2,False,0.83
task_04,agent_02,5,3,False,0.81
task_05,baseline,1,1,True,0.63
task_05,baseline,2,1,True,0.62
task_05,baseline,3,1,True,0.61
task_05,baseline,4,1,True,0.58
task_05,baseline,5,1,True,0.7
task_05,agent_02,1,1,True,0.65
task_05,agent_02,2,1,True,0.61
task_05,agent_02,3,1,True,0.8
task_05,agent_02,4,1,True,0.71
task_05,agent_02,5,1,True,0.61
task_06,baseline,1,1,False,0.8
task_06,baseline,1,2,False,0.91
task_06,baseline,1,3,False,0.78
task_06,baseline,2,1,False,0.8
task_06,baseline,2,2,False,0.74
task_06,baseline,2,3,False,0.75
task_06,baseline,3,1,False,0.77
task_06,baseline,3,2,False,0.7
task_06,baseline,3,3,False,0.77
task_06,baseline,4,1,False,0.82
task_06,baseline,4,2,False,0.71
task_06,baseline,4,3,False,1.07
task_06,baseline,5,1,False,0.8
task_06,baseline,5,2,False,0.77
task_06,baseline,5,3,False,0.93
task_06,agent_02,1,1,False,0.76
task_06,agent_02,1,2,False,0.84
task_06,agent_02,1,3,False,0.69
task_06,agent_02,2,1,False,0.83
task_06,agent_02,2,2,False,0.77
task_06,agent_02,2,3,False,0.75
task_06,agent_02,3,1,False,0.79
task_06,agent_02,3,2,False,0.71
task_06,agent_02,3,3,False,0.75
task_06,agent_02,4,1,False,0.73
task_06,agent_02,4,2,False,0.77
task_06,agent_02,4,3,False,0.7
task_06,agent_02,5,1,False,0.75
task_06,agent_02,5,2,False,0.81
task_06,agent_02,5,3,False,0.72
task_07,baseline,1,1,True,0.61
task_07,baseline,2,1,True,0.59
task_07,baseline,3,1,True,0.82
task_07,baseline,4,1,True,0.64
task_07,baseline,5,1,True,0.67
task_07,agent_02,1,1,True,0.61
task_07,agent_02,2,1,True,0.65
task_07,agent_02,3,1,True,0.62
task_07,agent_02,4,1,True,0.65
task_07,agent_02,5,1,True,0.67
task_01,baseline,1,1,True,0.57
task_01,baseline,2,1,True,0.61
task_01,baseline,3,1,True,0.58
task_01,baseline,4,1,True,0.6
task_01,baseline,5,1,True,0.57
task_01,baseline,1,1,True,0.62
task_01,baseline,2,1,True,0.61
task_01,baseline,3,1,True,0.58
task_01,baseline,4,1,True,0.57
task_01,baseline,5,1,True,0.61
task_01,agent_02,1,1,True,0.57
task_01,agent_02,2,1,True,0.58
task_01,agent_02,3,1,True,0.57
task_01,agent_02,4,1,True,0.58
task_01,agent_02,5,1,True,0.62
task_02,baseline,1,1,True,0.56
task_02,baseline,2,1,True,0.56
task_02,baseline,3,1,True,0.57
task_02,baseline,4,1,True,0.53
task_02,baseline,5,1,True,0.66
task_02,agent_02,1,1,True,0.54
task_02,agent_02,2,1,True,0.57
task_02,agent_02,3,1,True,0.58
task_02,agent_02,4,1,True,0.55
task_02,agent_02,5,1,True,0.6
task_03,baseline,1,1,False,0.72
task_03,baseline,1,2,False,0.67
task_03,baseline,1,3,False,0.67
task_03,baseline,2,1,False,0.74
task_03,baseline,2,2,False,0.67
task_03,baseline,2,3,False,0.68
task_03,baseline,3,1,False,0.77
task_03,baseline,3,2,False,0.7
task_03,baseline,3,3,False,0.76
task_03,baseline,4,1,False,0.73
task_03,baseline,4,2,False,0.76
task_03,baseline,4,3,False,0.89
task_03,baseline,5,1,False,0.85
task_03,baseline,5,2,False,0.67
task_03,baseline,5,3,False,0.67
task_03,agent_02,1,1,True,0.66
task_03,agent_02,2,1,True,0.56
task_03,agent_02,3,1,True,0.59
task_03,agent_02,4,1,True,0.37
task_03,agent_02,5,1,True,0.48
task_04,baseline,1,1,False,0.68
task_04,baseline,1,2,False,0.77
task_04,baseline,1,3,False,0.53
task_04,baseline,2,1,False,0.48
task_04,baseline,2,2,False,0.49
task_04,baseline,2,3,False,0.59
task_04,baseline,3,1,False,0.99
task_04,baseline,3,2,False,0.77
task_04,baseline,3,3,False,0.76
task_04,baseline,4,1,False,0.84
task_04,baseline,4,2,False,0.78
task_04,baseline,4,3,False,0.87
task_04,baseline,5,1,False,0.86
task_04,baseline,5,2,False,0.72
task_04,baseline,5,3,False,0.79
task_04,agent_02,1,1,True,0.61
task_04,agent_02,2,1,True,0.73
task_04,agent_02,3,1,True,0.59
task_04,agent_02,4,1,True,0.6
task_04,agent_02,5,1,True,0.6
task_05,baseline,1,1,True,0.71
task_05,baseline,2,1,True,0.61
task_05,baseline,3,1,True,0.64
task_05,baseline,4,1,True,0.65
task_05,baseline,5,1,True,0.64
task_05,agent_02,1,1,False,0.78
task_05,agent_02,1,2,False,0.82
task_05,agent_02,1,3,False,0.79
task_05,agent_02,2,1,False,0.91
task_05,agent_02,2,2,False,0.74
task_05,agent_02,2,3,False,0.83
task_05,agent_02,3,1,False,0.76
task_05,agent_02,3,2,False,0.79
task_05,agent_02,3,3,False,0.8
task_05,agent_02,4,1,False,0.82
task_05,agent_02,4,2,False,0.81
task_05,agent_02,4,3,False,0.76
task_05,agent_02,5,1,False,0.77
task_05,agent_02,5,2,False,0.75
task_05,agent_02,5,3,False,0.86
task_06,baseline,1,1,False,0.72
task_06,baseline,1,2,False,0.68
task_06,baseline,1,3,False,0.99
task_06,baseline,2,1,False,0.87
task_06,baseline,2,2,False,0.88
task_06,baseline,2,3,False,0.87
task_06,baseline,3,1,False,0.77
task_06,baseline,3,2,False,0.71
task_06,baseline,3,3,False,0.78
task_06,baseline,4,1,False,0.73
task_06,baseline,4,2,False,0.8
task_06,baseline,4,3,False,0.83
task_06,baseline,5,1,False,0.74
task_06,baseline,5,2,False,0.7
task_06,baseline,5,3,False,0.69
task_06,agent_02,1,1,True,0.72
task_06,agent_02,2,1,True,0.65
task_06,agent_02,3,1,True,0.6
task_06,agent_02,4,1,True,0.67
task_06,agent_02,5,1,True,0.61
task_07,baseline,1,1,True,0.65
task_07,baseline,2,1,True,0.66
task_07,baseline,3,1,True,0.66
task_07,baseline,4,1,True,0.71
task_07,baseline,5,1,True,0.66
task_07,agent_02,1,1,False,0.79
task_07,agent_02,1,2,False,0.79
task_07,agent_02,1,3,False,0.77
task_07,agent_02,2,1,False,0.81
task_07,agent_02,2,2,False,0.76
task_07,agent_02,2,3,False,0.68
task_07,agent_02,3,1,False,0.69
task_07,agent_02,3,2,False,0.76
task_07,agent_02,3,3,False,0.66
task_07,agent_02,4,1,False,0.7
task_07,agent_02,4,2,False,0.74
task_07,agent_02,4,3,False,0.77
task_07,agent_02,5,1,False,0.76
task_07,agent_02,5,2,False,0.85
task_07,agent_02,5,3,False,0.81
task_01,baseline,1,1,True,0.55
task_01,baseline,2,1,True,0.68
task_01,baseline,3,1,True,0.6
task_01,baseline,4,1,True,0.58
task_01,baseline,5,1,True,0.61
task_01,baseline,1,1,True,0.56
task_01,baseline,2,1,True,0.65
task_01,baseline,3,1,True,0.56
task_01,baseline,4,1,True,0.58
task_01,baseline,5,1,True,0.54
task_01,agent_02,1,1,True,0.59
task_01,agent_02,2,1,True,0.55
task_01,agent_02,3,1,True,0.59
task_01,agent_02,4,1,True,0.57
task_01,agent_02,5,1,True,0.59
task_02,baseline,1,1,True,0.63
task_02,baseline,2,1,True,0.57
task_02,baseline,3,1,True,0.61
task_02,baseline,4,1,True,0.61
task_02,baseline,5,1,True,0.57
task_02,agent_02,1,1,True,0.57
task_02,agent_02,2,1,True,0.6
task_02,agent_02,3,1,True,0.56
task_02,agent_02,4,1,True,0.57
task_02,agent_02,5,1,True,0.56
task_03,baseline,1,1,False,0.77
task_03,baseline,1,2,False,0.69
task_03,baseline,1,3,False,0.68
task_03,baseline,2,1,False,0.7
task_03,baseline,2,2,False,0.72
task_03,baseline,2,3,False,0.83
task_03,baseline,3,1,False,0.75
task_03,baseline,3,2,False,0.73
task_03,baseline,3,3,False,0.86
task_03,baseline,4,1,False,0.67
task_03,baseline,4,2,False,0.71
task_03,baseline,4,3,False,0.68
task_03,baseline,5,1,False,0.8
task_03,baseline,5,2,False,0.74
task_03,baseline,5,3,False,0.76
task_03,agent_02,1,1,True,0.58
task_03,agent_02,2,1,True,0.67
task_03,agent_02,3,1,True,0.63
task_03,agent_02,4,1,True,0.58
task_03,agent_02,5,1,True,0.57
task_04,baseline,1,1,False,0.74
task_04,baseline,1,2,False,0.71
task_04,baseline,1,3,False,0.72
task_04,baseline,2,1,False,0.8
task_04,baseline,2,2,False,0.85
task_04,baseline,2,3,False,0.78
task_04,baseline,3,1,False,0.76
task_04,baseline,3,2,False,0.67
task_04,baseline,3,3,False,0.7
task_04,baseline,4,1,False,0.82
task_04,baseline,4,2,False,0.78
task_04,baseline,4,3,False,0.71
task_04,baseline,5,1,False,0.78
task_04,baseline,5,2,False,0.93
task_04,baseline,5,3,False,0.69
task_04,agent_02,1,1,True,0.79
task_04,agent_02,2,1,True,0.69
task_04,agent_02,3,1,True,0.59
task_04,agent_02,4,1,True,0.63
task_04,agent_02,5,1,True,0.62
task_05,baseline,1,1,True,0.74
task_05,baseline,2,1,True,0.6
task_05,baseline,3,1,True,0.61
task_05,baseline,4,1,True,0.58
task_05,baseline,5,1,True,0.69
task_05,agent_02,1,1,False,0.72
task_05,agent_02,1,2,False,0.83
task_05,agent_02,1,3,False,0.81
task_05,agent_02,2,1,False,0.8
task_05,agent_02,2,2,False,0.84
task_05,agent_02,2,3,False,0.9
task_05,agent_02,3,1,False,0.74
task_05,agent_02,3,2,False,0.75
task_05,agent_02,3,3,False,0.72
task_05,agent_02,4,1,False,0.81
task_05,agent_02,4,2,False,0.66
task_05,agent_02,4,3,False,0.84
task_05,agent_02,5,1,False,0.83
task_05,agent_02,5,2,False,0.77
task_05,agent_02,5,3,False,0.8
task_06,baseline,1,1,False,0.74
task_06,baseline,1,2,False,0.76
task_06,baseline,1,3,False,0.78
task_06,baseline,2,1,False,0.83
task_06,baseline,2,2,False,0.79
task_06,baseline,2,3,False,0.9
task_06,baseline,3,1,False,0.81
task_06,baseline,3,2,False,0.84
task_06,baseline,3,3,False,0.79
task_06,baseline,4,1,False,0.84
task_06,baseline,4,2,False,0.78
task_06,baseline,4,3,False,0.81
task_06,baseline,5,1,False,0.83
task_06,baseline,5,2,False,0.85
task_06,baseline,5,3,False,0.88
task_06,agent_02,1,1,True,0.68
task_06,agent_02,2,1,True,0.67
task_06,agent_02,3,1,True,0.64
task_06,agent_02,4,1,True,0.65
task_06,agent_02,5,1,True,0.59
task_07,baseline,1,1,True,0.6
task_07,baseline,2,1,True,0.64
task_07,baseline,3,1,True,0.66
task_07,baseline,4,1,True,0.71
task_07,baseline,5,1,True,0.62
task_07,agent_02,1,1,True,0.76
task_07,agent_02,2,1,True,0.7
task_07,agent_02,3,1,True,0.72
task_07,agent_02,4,1,True,0.64
task_07,agent_02,5,1,True,0.66
task_01,baseline,1,1,True,0.59
task_01,baseline,2,1,True,0.58
task_01,baseline,3,1,True,0.59
task_01,baseline,4,1,True,0.65
task_01,baseline,5,1,True,0.58
task_01,agent_02,1,1,True,0.56
task_01,agent_02,2,1,True,0.83
task_01,agent_02,3,1,True,0.63
task_01,agent_02,4,1,True,0.64
task_01,agent_02,5,1,True,0.55
task_02,baseline,1,1,True,0.57
task_02,baseline,2,1,True,0.61
task_02,baseline,3,1,True,0.52
task_02,baseline,4,1,True,0.57
task_02,baseline,5,1,True,0.63
task_02,agent_02,1,1,True,0.66
task_02,agent_02,2,1,True,0.6
task_02,agent_02,3,1,True,0.61
task_02,agent_02,4,1,True,0.64
task_02,agent_02,5,1,True,0.59
task_03,baseline,1,1,False,0.72
task_03,baseline,1,2,False,0.64
task_03,baseline,1,3,False,0.66
task_03,baseline,2,1,False,0.66
task_03,baseline,2,2,False,0.83
task_03,baseline,2,3,False,0.7
task_03,baseline,3,1,False,0.75
task_03,baseline,3,2,False,0.67
task_03,baseline,3,3,False,0.87
task_03,baseline,4,1,False,0.71
task_03,baseline,4,2,False,0.69
task_03,baseline,4,3,False,0.75
task_03,baseline,5,1,False,0.71
task_03,baseline,5,2,False,0.77
task_03,baseline,5,3,False,0.69
task_03,agent_02,1,1,True,0.69
task_03,agent_02,2,1,True,0.65
task_03,agent_02,3,1,True,0.59
task_03,agent_02,4,1,True,0.64
task_03,agent_02,5,1,True,0.56
task_04,baseline,1,1,False,0.8
task_04,baseline,1,2,False,0.73
task_04,baseline,1,3,False,0.77
task_04,baseline,2,1,False,0.77
task_04,baseline,2,2,False,0.7
task_04,baseline,2,3,False,0.71
task_04,baseline,3,1,False,0.73
task_04,baseline,3,2,False,0.7
task_04,baseline,3,3,False,0.74
task_04,baseline,4,1,False,0.78
task_04,baseline,4,2,False,0.75
task_04,baseline,4,3,False,0.76
task_04,baseline,5,1,False,0.78
task_04,baseline,5,2,False,0.81
task_04,baseline,5,3,False,0.74
task_04,agent_02,1,1,True,0.68
task_04,agent_02,2,1,True,0.68
task_04,agent_02,3,1,True,0.69
task_04,agent_02,4,1,True,0.63
task_04,agent_02,5,1,True,0.56
task_05,baseline,1,1,True,0.6
task_05,baseline,2,1,True,0.67
task_05,baseline,3,1,True,0.58
task_05,baseline,4,1,True,0.63
task_05,baseline,5,1,True,0.63
task_05,agent_02,1,1,True,0.65
task_05,agent_02,2,1,True,0.59
task_05,agent_02,3,1,True,0.56
task_05,agent_02,4,1,True,0.71
task_05,agent_02,5,1,True,0.48
task_06,baseline,1,1,False,0.56
task_06,baseline,1,2,False,0.62
task_06,baseline,1,3,False,0.45
task_06,baseline,2,1,False,0.52
task_06,baseline,2,2,False,0.64
task_06,baseline,2,3,False,0.83
task_06,baseline,3,1,False,0.77
task_06,baseline,3,2,False,0.72
task_06,baseline,3,3,False,0.79
task_06,baseline,4,1,False,0.88
task_06,baseline,4,2,False,0.85
task_06,baseline,4,3,False,0.67
task_06,baseline,5,1,False,0.78
task_06,baseline,5,2,False,0.72
task_06,baseline,5,3,False,0.81
task_06,agent_02,1,1,True,0.59
task_06,agent_02,2,1,True,0.58
task_06,agent_02,3,1,True,0.56
task_06,agent_02,4,1,True,0.63
task_06,agent_02,5,1,True,0.61
task_07,baseline,1,1,True,0.66
task_07,baseline,2,1,True,0.63
task_07,baseline,3,1,True,0.57
task_07,baseline,4,1,True,0.59
task_07,baseline,5,1,True,0.6
task_07,agent_02,1,1,True,0.6
task_07,agent_02,2,1,True,0.59
task_07,agent_02,3,1,True,0.6
task_07,agent_02,4,1,True,0.66
task_07,agent_02,5,1,True,0.57
task_06,baseline,1,1,True,0.31
task_06,baseline,2,1,True,0.32
task_06,baseline,3,1,True,0.32
task_06,baseline,4,1,True,0.33
task_06,baseline,5,1,True,0.31
task_06,agent_02,1,1,True,0.32
task_06,agent_02,2,1,True,0.33
task_06,agent_02,3,1,True,0.33
task_06,agent_02,4,1,True,0.32
task_06,agent_02,5,1,True,0.33
task_01,baseline,1,1,True,0.34
task_01,baseline,2,1,True,0.33
task_01,baseline,3,1,True,0.33
task_01,baseline,4,1,True,0.31
task_01,baseline,5,1,True,0.32
task_01,agent_02,1,1,True,0.32
task_01,agent_02,2,1,True,0.32
task_01,agent_02,3,1,True,0.32
task_01,agent_02,4,1,True,0.32
task_01,agent_02,5,1,True,0.31
task_02,baseline,1,1,True,0.33
task_02,baseline,2,1,True,0.31
task_02,baseline,3,1,True,0.32
task_02,baseline,4,1,True,0.31
task_02,baseline,5,1,True,0.31
task_02,agent_02,1,1,True,0.32
task_02,agent_02,2,1,True,0.31
task_02,agent_02,3,1,True,0.31
task_02,agent_02,4,1,True,0.31
task_02,agent_02,5,1,True,0.34
task_05,baseline,1,1,True,0.32
task_05,baseline,2,1,True,0.31
task_05,baseline,3,1,True,0.31
task_05,baseline,4,1,True,0.3
task_05,baseline,5,1,True,0.32
task_05,agent_02,1,1,True,0.33
task_05,agent_02,2,1,True,0.32
task_05,agent_02,3,1,True,0.32
task_05,agent_02,4,1,True,0.33
task_05,agent_02,5,1,True,0.33
task_06,baseline,1,1,True,0.36
task_06,baseline,2,1,True,0.32
task_06,baseline,3,1,True,0.33
task_06,baseline,4,1,True,0.33
task_06,baseline,5,1,True,0.33
task_06,agent_02,1,1,True,0.34
